,title,movieId,genres,movie_year,title_only
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out
4,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens
6,Arrival (2016),164179,Sci-Fi,2016.0,Arrival
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia
9,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The"
10,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant
11,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story
13,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan
14,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2
15,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange
16,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I
17,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man
18,The Hateful Eight (2015),128360,Western,2015.0,The Hateful Eight
19,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War
20,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World
21,Thor: Ragnarok (2017),122916,Action|Adventure|Sci-Fi,2017.0,Thor: Ragnarok
22,Spotlight (2015),142488,Thriller,2015.0,Spotlight
23,Get Out (2017),168250,Horror,2017.0,Get Out
24,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049
25,The Hunger Games: Mockingjay - Part 2 (2015),135133,Adventure|Sci-Fi,2015.0,The Hunger Games: Mockingjay - Part 2
26,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation
27,Dunkirk (2017),174055,Action|Drama|Thriller|War,2017.0,Dunkirk
28,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario
29,Deadpool 2 (2018),187593,Action|Comedy|Sci-Fi,2018.0,Deadpool 2
30,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them
31,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot
32,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman
33,Room (2015),140174,Drama,2015.0,Room
34,10 Cloverfield Lane (2016),152077,Thriller,2016.0,10 Cloverfield Lane
35,Baby Driver (2017),171763,Action|Crime|Thriller,2017.0,Baby Driver
36,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana
37,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies
38,Coco (2017),177765,Adventure|Animation|Children,2017.0,Coco
39,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land
40,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri"
41,The Man from U.N.C.L.E. (2015),138036,Action|Adventure|Comedy,2015.0,The Man from U.N.C.L.E.
42,Star Wars: The Last Jedi (2017),179819,Action|Adventure|Fantasy|Sci-Fi,2017.0,Star Wars: The Last Jedi
43,Spectre (2015),136020,Action|Adventure|Crime,2015.0,Spectre
44,Black Panther (2017),122906,Action|Adventure|Sci-Fi,2017.0,Black Panther
45,The Nice Guys (2016),158238,Crime|Mystery|Thriller,2016.0,The Nice Guys
46,Finding Dory (2016),157296,Adventure|Animation|Comedy,2016.0,Finding Dory
47,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse
48,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers
49,The Intern (2015),140110,Comedy,2015.0,The Intern
50,Incredibles 2 (2018),187541,Action|Adventure|Animation|Children,2018.0,Incredibles 2
51,The Lobster (2015),133771,Comedy|Romance|Sci-Fi,2015.0,The Lobster
52,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse
53,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures
54,Avengers: Infinity War - Part II (2019),122914,Action|Adventure|Sci-Fi,2019.0,Avengers: Infinity War - Part II
55,Suicide Squad (2016),135536,Action|Crime|Sci-Fi,2016.0,Suicide Squad
56,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice
57,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond
58,Hacksaw Ridge (2016),163645,Drama|War,2016.0,Hacksaw Ridge
59,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two
60,Split (2017),166534,Drama|Horror|Thriller,2017.0,Split
61,Chappie (2015),120466,Action|Thriller,2015.0,Chappie
62,Spy (2015),134368,Action|Comedy|Crime,2015.0,Spy
63,Furious 7 (2015),130634,Action|Crime|Thriller,2015.0,Furious 7
64,Now You See Me 2 (2016),159093,Action|Comedy|Thriller,2016.0,Now You See Me 2
65,It (2017),175303,Horror,2017.0,It
66,Minions (2015),135887,Adventure|Animation|Children|Comedy,2015.0,Minions
67,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent
68,The Accountant (2016),162606,Crime|Drama|Thriller,2016.0,The Accountant
69,Bohemian Rhapsody (2018),192803,Drama,2018.0,Bohemian Rhapsody
70,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water
71,The Jungle Book (2016),137857,Adventure|Drama|Fantasy,2016.0,The Jungle Book
72,Isle of Dogs (2018),183897,Animation|Comedy,2018.0,Isle of Dogs
73,A Quiet Place (2018),185029,Drama|Horror|Thriller,2018.0,A Quiet Place
74,Terminator Genisys (2015),120799,Action|Adventure|Sci-Fi|Thriller,2015.0,Terminator Genisys
75,Kubo and the Two Strings (2016),162578,Adventure|Animation|Children|Fantasy,2016.0,Kubo and the Two Strings
76,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird
77,Captain Fantastic (2016),158966,Drama,2016.0,Captain Fantastic
78,Green Book (2018),194448,Comedy|Drama,2018.0,Green Book
79,Tomorrowland (2015),132046,Action|Adventure|Children|Mystery|Sci-Fi,2015.0,Tomorrowland
80,Annihilation (2018),182715,Adventure|Mystery|Sci-Fi|Thriller,2018.0,Annihilation
81,Hell or High Water (2016),161582,Crime|Drama,2016.0,Hell or High Water
82,Focus (2015),129354,Comedy|Crime|Drama|Romance,2015.0,Focus
83,Jupiter Ascending (2015),113345,Action|Adventure|Sci-Fi,2015.0,Jupiter Ascending
84,Maze Runner: Scorch Trials (2015),117895,Action|Thriller,2015.0,Maze Runner: Scorch Trials
85,Manchester by the Sea (2016),165549,Drama,2016.0,Manchester by the Sea
86,Ghost in the Shell (2017),168612,Action|Drama|Sci-Fi,2017.0,Ghost in the Shell
87,Sully (2016),160980,Drama,2016.0,Sully
88,Jumanji: Welcome to the Jungle (2017),179401,Action|Adventure|Children,2017.0,Jumanji: Welcome to the Jungle
89,The Witch (2015),140267,Horror,2015.0,The Witch
90,Beauty and the Beast (2017),168366,Fantasy|Romance,2017.0,Beauty and the Beast
91,Jason Bourne (2016),160438,Action,2016.0,Jason Bourne
92,Kung Fu Panda 3 (2016),149406,Action|Adventure|Animation,2016.0,Kung Fu Panda 3
93,Creed (2015),146656,Drama,2015.0,Creed
94,Your Name. (2016),163134,Animation|Drama|Fantasy|Romance,2016.0,Your Name.
95,Alien: Covenant (2017),169984,Action|Horror|Sci-Fi|Thriller,2017.0,Alien: Covenant
96,Kingsman: The Golden Circle (2017),176101,Action|Adventure|Comedy,2017.0,Kingsman: The Golden Circle
97,Hunt for the Wilderpeople (2016),152970,Adventure|Comedy,2016.0,Hunt for the Wilderpeople
98,Lion (2016),165551,Drama,2016.0,Lion
99,Solo: A Star Wars Story (2018),187595,Action|Adventure|Children|Sci-Fi,2018.0,Solo: A Star Wars Story
100,Ant-Man and the Wasp (2018),188301,Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,Ant-Man and the Wasp
101,Me and Earl and the Dying Girl (2015),127202,Drama,2015.0,Me and Earl and the Dying Girl
102,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales
103,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout
104,Ted 2 (2015),135861,Comedy,2015.0,Ted 2
105,The Big Sick (2017),168326,Comedy|Romance,2017.0,The Big Sick
106,Sausage Party (2016),158872,Animation|Comedy,2016.0,Sausage Party
107,Warcraft (2016),122890,Action|Adventure|Fantasy,2016.0,Warcraft
108,The Secret Life of Pets (2016),135436,Animation|Comedy,2016.0,The Secret Life of Pets
109,War Dogs (2016),161131,Comedy,2016.0,War Dogs
110,Trainwreck (2015),134393,Comedy|Romance,2015.0,Trainwreck
111,Pitch Perfect 2 (2015),133419,Comedy,2015.0,Pitch Perfect 2
112,Everest (2015),142448,Adventure|Drama|Thriller,2015.0,Everest
113,Wind River (2017),175569,Action|Crime|Mystery|Thriller,2017.0,Wind River
114,Miss Peregrine's Home for Peculiar Children (2016),162600,Fantasy,2016.0,Miss Peregrine's Home for Peculiar Children
115,San Andreas (2015),132796,Action|Drama|Thriller,2015.0,San Andreas
116,Captain Marvel (2018),122910,Action|Adventure|Sci-Fi,2018.0,Captain Marvel
117,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes
118,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!"
119,The Magnificent Seven (2016),162350,Action|Western,2016.0,The Magnificent Seven
120,Ghostbusters (2016),160080,Action|Comedy|Horror|Sci-Fi,2016.0,Ghostbusters
121,Fantastic Four (2015),122902,Action|Adventure|Fantasy|Sci-Fi,2015.0,Fantastic Four
122,Life (2017),169864,Horror|Sci-Fi|Thriller,2017.0,Life
123,The Founder (2016),166946,Drama,2016.0,The Founder
124,The Conjuring 2 (2016),159858,Horror,2016.0,The Conjuring 2
125,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets
126,Hotel Transylvania 2 (2015),142997,Animation|Comedy,2015.0,Hotel Transylvania 2
127,Mother! (2017),176419,Drama|Horror|Mystery|Thriller,2017.0,Mother!
128,Piper (2016),160718,Animation,2016.0,Piper
129,Straight Outta Compton (2015),140715,Drama,2015.0,Straight Outta Compton
130,Hereditary (2018),183869,(no genres listed),2018.0,Hereditary
131,Game Night (2018),183611,Action|Comedy|Crime|Horror,2018.0,Game Night
132,Steve Jobs (2015),136562,Drama,2015.0,Steve Jobs
133,The Hitman's Bodyguard (2017),175661,Action|Comedy,2017.0,The Hitman's Bodyguard
134,Justice League (2017),122898,Action|Adventure|Sci-Fi,2017.0,Justice League
135,The Handmaiden (2016),158783,Drama|Romance|Thriller,2016.0,The Handmaiden
136,Don't Breathe (2016),161634,Thriller,2016.0,Don't Breathe
137,Independence Day: Resurgence (2016),135567,Action|Adventure|Sci-Fi,2016.0,Independence Day: Resurgence
138,Kung Fury (2015),134170,Action|Comedy|Fantasy|Sci-Fi,2015.0,Kung Fury
139,BlacKkKlansman (2018),189713,Comedy|Crime|Drama,2018.0,BlacKkKlansman
140,Home (2015),130520,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2015.0,Home
141,"I, Tonya (2017)",178061,Drama,2017.0,"I, Tonya"
142,Kong: Skull Island (2017),168254,Action|Adventure|Fantasy,2017.0,Kong: Skull Island
143,Murder on the Orient Express (2017),177763,Crime|Drama|Mystery,2017.0,Murder on the Orient Express
144,Snowden (2016),157699,Drama|Thriller,2016.0,Snowden
145,Call Me by Your Name (2017),168492,Drama|Romance,2017.0,Call Me by Your Name
146,Fifty Shades of Grey (2015),125916,Drama|Romance,2015.0,Fifty Shades of Grey
147,Venom (2018),192389,Action|Horror|Sci-Fi|Thriller,2018.0,Venom
148,The Gift (2015),140247,Drama|Horror,2015.0,The Gift
149,The Greatest Showman (2017),180985,Drama,2017.0,The Greatest Showman
150,Swiss Army Man (2016),159415,Comedy|Drama|Romance,2016.0,Swiss Army Man
151,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline
152,Jurassic World: Fallen Kingdom (2018),187031,Action|Adventure|Drama|Sci-Fi|Thriller,2018.0,Jurassic World: Fallen Kingdom
153,Brooklyn (2015),127108,Drama|Romance,2015.0,Brooklyn
154,Green Room (2015),141866,(no genres listed),2015.0,Green Room
155,The Fate of the Furious (2017),170875,Action|Crime|Drama|Thriller,2017.0,The Fate of the Furious
156,Planet Earth II (2016),171011,Documentary,2016.0,Planet Earth II
157,Black Mass (2015),136018,Crime|Drama,2015.0,Black Mass
158,Cinderella (2015),130073,Children|Drama|Fantasy|Romance,2015.0,Cinderella
159,Me Before You (2016),152017,Drama|Romance,2016.0,Me Before You
160,The Girl on the Train (2016),162602,Thriller,2016.0,The Girl on the Train
161,Train to Busan (2016),162082,Action|Thriller,2016.0,Train to Busan
162,Atomic Blonde (2017),173941,Thriller,2017.0,Atomic Blonde
163,The Edge of Seventeen (2016),161922,Comedy,2016.0,The Edge of Seventeen
164,Upgrade (2018),189203,Action|Comedy|Horror|Sci-Fi|Thriller,2018.0,Upgrade
165,A Star Is Born (2018),192385,Drama|Romance,2018.0,A Star Is Born
166,Aquaman (2018),143347,Action|Fantasy|Sci-Fi,2018.0,Aquaman
167,Gifted (2017),170697,Drama,2017.0,Gifted
168,Taken 3 (2015),120635,Action|Crime|Thriller,2015.0,Taken 3
169,The Ballad of Buster Scruggs (2018),193944,Comedy|Drama|Western,2018.0,The Ballad of Buster Scruggs
170,Wonder (2017),180095,Drama,2017.0,Wonder
171,Bird Box (2018),194951,Drama|Sci-Fi|Thriller,2018.0,Bird Box
172,Louis C.K.: Live at The Comedy Store (2015),127098,Comedy,2015.0,Louis C.K.: Live at The Comedy Store
173,Pixels (2015),135137,Action|Comedy|Sci-Fi,2015.0,Pixels
174,Spider-Man: Far from Home (2019),201773,Action|Adventure|Sci-Fi,2019.0,Spider-Man: Far from Home
175,Sing (2016),167036,Animation|Children|Comedy,2016.0,Sing
176,Sing (2016),169530,Drama,2016.0,Sing
177,Sing Street (2016),156387,Drama,2016.0,Sing Street
178,The Lego Batman Movie (2017),167746,Action|Animation|Comedy,2017.0,The Lego Batman Movie
179,Carol (2015),133645,Drama|Romance,2015.0,Carol
180,The Disaster Artist (2017),180297,Comedy|Drama,2017.0,The Disaster Artist
181,Central Intelligence (2016),160271,Action|Comedy,2016.0,Central Intelligence
182,Crimson Peak (2015),128838,Horror,2015.0,Crimson Peak
183,Deepwater Horizon (2016),162598,Drama,2016.0,Deepwater Horizon
184,Ocean's 8 (2018),189363,Action|Comedy|Crime|Thriller,2018.0,Ocean's 8
185,Allegiant: Part 1 (2016),135141,Adventure|Sci-Fi,2016.0,Allegiant: Part 1
186,Darkest Hour (2017),179817,Drama|War,2017.0,Darkest Hour
187,Nerve (2016),160954,Drama|Thriller,2016.0,Nerve
188,The Post (2017),180497,Drama|Thriller,2017.0,The Post
189,Tomb Raider (2018),184471,Action|Adventure|Fantasy,2018.0,Tomb Raider
190,Get Hard (2015),131013,Comedy|Crime,2015.0,Get Hard
191,Neighbors 2: Sorority Rising (2016),156609,Comedy,2016.0,Neighbors 2: Sorority Rising
192,The Good Dinosaur (2015),136016,Adventure|Animation|Children|Comedy|Fantasy,2015.0,The Good Dinosaur
193,Bright (2017),182823,Action|Crime|Fantasy,2017.0,Bright
194,King Arthur: Legend of the Sword (2017),168344,Action|Adventure|Drama|Fantasy,2017.0,King Arthur: Legend of the Sword
195,Southpaw (2015),139642,Action|Drama,2015.0,Southpaw
196,American Made (2017),176751,Crime|Thriller,2017.0,American Made
197,The Mummy (2017),170827,Action|Adventure|Fantasy|Horror|Thriller,2017.0,The Mummy
198,13 Hours (2016),138210,Drama,2016.0,13 Hours
199,Molly's Game (2017),180045,Drama,2017.0,Molly's Game
